Date,League,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeCoach,AwayCoach,Bet365_1,Bet365_X,Bet365_2,Pinnacle_1,Pinnacle_X,Pinnacle_2,WilliamHill_1,WilliamHill_X,WilliamHill_2
08/08/2015,Premier League,2015-2016,Bournemouth,Aston Villa,0,1,2,Eddie Howe,Tim Sherwood,2,3.6,4,1.95,3.65,4.27,1.91,3.5,4
08/08/2015,Premier League,2015-2016,Chelsea,Swansea,2,2,X,Jose Mourinho,Garry Monk,1.36,5,11,1.39,4.92,10.39,1.4,4,10
08/08/2015,Premier League,2015-2016,Everton,Watford,2,2,X,Roberto Martinez,Quique Sanchez Flores,1.7,3.9,5.5,1.7,3.95,5.62,1.73,3.5,5
08/08/2015,Premier League,2015-2016,Leicester,Sunderland,4,2,1,Claudio Ranieri,Dick Advocaat,1.95,3.5,4.33,1.99,3.48,4.34,2,3.1,2.7
08/08/2015,Premier League,2015-2016,Man United,Tottenham,1,0,1,Louis van Gaal,Mauricio Pochettino,1.65,4,6,1.65,4.09,5.9,1.62,3.6,6
08/08/2015,Premier League,2015-2016,Norwich,Crystal Palace,1,3,2,Alex Neil,Alan Pardew,2.55,3.3,3,2.52,3.35,3.08,2.6,3.1,2.88
09/08/2015,Premier League,2015-2016,Arsenal,West Ham,0,2,2,Arsene Wenger,Slaven Bilic,1.29,6,12,1.31,5.75,12,1.3,5,11
09/08/2015,Premier League,2015-2016,Newcastle,Southampton,2,2,X,Steve McClaren,Ronald Koeman,2.88,3.3,2.7,2.88,3.33,2.69,2.7,3.1,2.7
09/08/2015,Premier League,2015-2016,Stoke,Liverpool,0,1,2,Mark Hughes,Brendan Rodgers,3.4,3.4,2.3,3.48,3.46,2.25,3.3,3.1,2.3
10/08/2015,Premier League,2015-2016,West Brom,Man City,0,3,2,Tony Pulis,Manuel Pellegrini,5.75,4,1.67,5.75,3.98,1.68,5.5,3.5,1.7
14/08/2015,Premier League,2015-2016,Aston Villa,Man United,0,1,2,Tim Sherwood,Louis van Gaal,5.5,3.8,1.73,5.66,3.83,1.72,5.5,3.6,1.75
15/08/2015,Premier League,2015-2016,Southampton,Everton,0,3,2,Ronald Koeman,Roberto Martinez,1.95,3.6,4.33,1.98,3.6,4.21,2,3.25,4
15/08/2015,Premier League,2015-2016,Sunderland,Norwich,1,3,2,Dick Advocaat,Alex Neil,2.5,3.3,3.1,2.52,3.35,3.08,2.5,3,3
15/08/2015,Premier League,2015-2016,Swansea,Newcastle,2,0,1,Garry Monk,Steve McClaren,1.95,3.6,4.33,1.94,3.66,4.3,1.95,3.2,4.33
15/08/2015,Premier League,2015-2016,Tottenham,Stoke,2,2,X,Mauricio Pochettino,Mark Hughes,1.8,3.75,5,1.79,3.75,5.09,1.8,3.3,5
15/08/2015,Premier League,2015-2016,Watford,West Brom,0,0,X,Quique Sanchez Flores,Tony Pulis,2.3,3.4,3.4,2.25,3.41,3.54,2.3,3.2,3.2
15/08/2015,Premier League,2015-2016,West Ham,Leicester,1,2,2,Slaven Bilic,Claudio Ranieri,2.25,3.5,3.4,2.25,3.52,3.42,2.3,3.2,3.2
16/08/2015,Premier League,2015-2016,Crystal Palace,Arsenal,1,2,2,Alan Pardew,Arsene Wenger,5.25,3.9,1.73,5.34,3.97,1.72,5,3.5,1.75
16/08/2015,Premier League,2015-2016,Man City,Chelsea,3,0,1,Manuel Pellegrini,Jose Mourinho,2.1,3.5,3.75,2.08,3.56,3.87,2.15,3.2,3.6
17/08/2015,Premier League,2015-2016,Liverpool,Bournemouth,1,0,1,Brendan Rodgers,Eddie Howe,1.45,4.75,8,1.44,4.74,8.6,1.5,4.2,6.5
22/08/2015,Premier League,2015-2016,Crystal Palace,Aston Villa,2,1,1,Alan Pardew,Tim Sherwood,1.85,3.6,4.75,1.85,3.63,4.89,1.85,3.4,4.5
22/08/2015,Premier League,2015-2016,Leicester,Tottenham,1,1,X,Claudio Ranieri,Mauricio Pochettino,2.63,3.6,2.75,2.69,3.52,2.75,2.7,3.1,2.7
22/08/2015,Premier League,2015-2016,Man United,Newcastle,0,0,X,Louis van Gaal,Steve McClaren,1.36,5.25,10,1.39,5.15,9.62,1.36,5,8
22/08/2015,Premier League,2015-2016,Norwich,Stoke,1,1,X,Alex Neil,Mark Hughes,2.3,3.3,3.5,2.34,3.39,3.37,2.3,3.2,3.1
22/08/2015,Premier League,2015-2016,Sunderland,Swansea,1,1,X,Dick Advocaat,Garry Monk,4,3.4,2.1,3.79,3.45,2.14,3.75,3.2,2.1
22/08/2015,Premier League,2015-2016,West Ham,Bournemouth,3,4,2,Slaven Bilic,Eddie Howe,2.38,3.4,3.2,2.43,3.44,3.15,2.4,3.1,3.1
23/08/2015,Premier League,2015-2016,Everton,Man City,0,2,2,Roberto Martinez,Manuel Pellegrini,5,4,1.73,4.85,4.08,1.76,5,3.5,1.75
23/08/2015,Premier League,2015-2016,Watford,Southampton,0,0,X,Quique Sanchez Flores,Ronald Koeman,2.8,3.3,2.75,2.76,3.36,2.78,2.7,3.1,2.7
23/08/2015,Premier League,2015-2016,West Brom,Chelsea,2,3,2,Tony Pulis,Jose Mourinho,6.5,4,1.62,6.25,3.93,1.65,6,3.4,1.67
24/08/2015,Premier League,2015-2016,Arsenal,Liverpool,0,0,X,Arsene Wenger,Brendan Rodgers,1.75,4,5,1.74,4,5.12,1.73,3.5,5
29/08/2015,Premier League,2015-2016,Aston Villa,Sunderland,2,2,X,Tim Sherwood,Dick Advocaat,1.91,3.5,4.75,1.93,3.51,4.62,1.91,3.2,4.5
29/08/2015,Premier League,2015-2016,Bournemouth,Leicester,1,1,X,Eddie Howe,Claudio Ranieri,2.2,3.6,3.4,2.15,3.63,3.57,2.2,3.2,3.4
29/08/2015,Premier League,2015-2016,Chelsea,Crystal Palace,1,2,2,Jose Mourinho,Alan Pardew,1.36,5,11,1.37,5.26,10.17,1.36,4.5,9.5
29/08/2015,Premier League,2015-2016,Liverpool,West Ham,0,3,2,Brendan Rodgers,Slaven Bilic,1.36,5.5,9,1.36,5.28,10.21,1.36,4.5,9.5
29/08/2015,Premier League,2015-2016,Man City,Watford,2,0,1,Manuel Pellegrini,Quique Sanchez Flores,1.2,8,15,1.19,8,17.75,1.22,6,13
29/08/2015,Premier League,2015-2016,Newcastle,Arsenal,0,1,2,Steve McClaren,Arsene Wenger,6,4.2,1.62,6.13,4.21,1.61,6,3.6,1.62
29/08/2015,Premier League,2015-2016,Stoke,West Brom,0,1,2,Mark Hughes,Tony Pulis,1.95,3.4,4.5,1.95,3.5,4.5,1.95,3.25,4.2
29/08/2015,Premier League,2015-2016,Tottenham,Everton,0,0,X,Mauricio Pochettino,Roberto Martinez,2,3.5,4.2,1.97,3.72,4.09,2,3.25,4
30/08/2015,Premier League,2015-2016,Southampton,Norwich,3,0,1,Ronald Koeman,Alex Neil,2.05,3.5,4,2.05,3.54,4,2.05,3.25,3.8
30/08/2015,Premier League,2015-2016,Swansea,Man United,2,1,1,Garry Monk,Louis van Gaal,3.6,3.3,2.25,3.55,3.45,2.23,3.5,3,2.25
12/09/2015,Premier League,2015-2016,Arsenal,Stoke,2,0,1,Arsene Wenger,Mark Hughes,1.29,6,12,1.28,6.12,13,1.3,5,11
12/09/2015,Premier League,2015-2016,Crystal Palace,Man City,0,1,2,Alan Pardew,Manuel Pellegrini,5.5,4.2,1.67,5.75,4.16,1.65,5.5,3.8,1.62
12/09/2015,Premier League,2015-2016,Everton,Chelsea,3,1,1,Roberto Martinez,Jose Mourinho,4,3.6,2,4.11,3.57,2.01,4,3.1,2.05
12/09/2015,Premier League,2015-2016,Man United,Liverpool,3,1,1,Louis van Gaal,Brendan Rodgers,2,3.4,4.33,1.94,3.49,4.56,1.95,3.4,4.5
12/09/2015,Premier League,2015-2016,Norwich,Bournemouth,3,1,1,Alex Neil,Eddie Howe,2.4,3.4,3.2,2.36,3.48,3.23,2.4,3.1,3.1
12/09/2015,Premier League,2015-2016,Watford,Swansea,1,0,1,Quique Sanchez Flores,Garry Monk,2.75,3.4,2.75,2.75,3.34,2.8,2.75,3,2.75
12/09/2015,Premier League,2015-2016,West Brom,Southampton,0,0,X,Tony Pulis,Ronald Koeman,3.2,3.2,2.5,3.21,3.26,2.49,3.1,3,2.5
13/09/2015,Premier League,2015-2016,Leicester,Aston Villa,3,2,1,Claudio Ranieri,Tim Sherwood,1.91,3.75,4.33,1.86,3.74,4.62,1.91,3.3,4.33
13/09/2015,Premier League,2015-2016,Sunderland,Tottenham,0,1,2,Dick Advocaat,Mauricio Pochettino,4.33,3.6,1.95,4.32,3.65,1.94,4.2,3.25,1.95
14/09/2015,Premier League,2015-2016,West Ham,Newcastle,2,0,1,Slaven Bilic,Steve McClaren,2.25,3.5,3.4,2.23,3.53,3.48,2.25,3.1,3.4
19/09/2015,Premier League,2015-2016,Aston Villa,West Brom,0,1,2,Tim Sherwood,Tony Pulis,2.3,3.25,3.5,2.32,3.23,3.57,2.3,3.2,3.2
19/09/2015,Premier League,2015-2016,Bournemouth,Sunderland,2,0,1,Eddie Howe,Dick Advocaat,1.7,4,5.5,1.71,3.99,5.35,1.73,3.6,5
19/09/2015,Premier League,2015-2016,Chelsea,Arsenal,2,0,1,Jose Mourinho,Arsene Wenger,2.45,3.5,3,2.45,3.51,3.06,2.4,3.1,3.1
19/09/2015,Premier League,2015-2016,Man City,West Ham,1,2,2,Manuel Pellegrini,Slaven Bilic,1.29,6.5,11,1.27,6.45,12.78,1.29,5,12
19/09/2015,Premier League,2015-2016,Newcastle,Watford,1,2,2,Steve McClaren,Quique Sanchez Flores,2.5,3.3,3.1,2.54,3.36,3.04,2.5,3.2,2.9
19/09/2015,Premier League,2015-2016,Stoke,Leicester,2,2,X,Mark Hughes,Claudio Ranieri,2.5,3.4,3,2.47,3.41,3.1,2.5,3,3
19/09/2015,Premier League,2015-2016,Swansea,Everton,0,0,X,Garry Monk,Roberto Martinez,2.3,3.4,3.4,2.3,3.44,3.4,2.3,3.2,3.2
20/09/2015,Premier League,2015-2016,Liverpool,Norwich,1,1,X,Brendan Rodgers,Alex Neil,1.67,4,5.75,1.68,3.94,5.81,1.67,3.6,5.5
20/09/2015,Premier League,2015-2016,Southampton,Man United,2,3,2,Ronald Koeman,Louis van Gaal,3.1,3.3,2.5,3.22,3.3,2.46,3,3,2.5
20/09/2015,Premier League,2015-2016,Tottenham,Crystal Palace,1,0,1,Mauricio Pochettino,Alan Pardew,2,3.6,4,1.99,3.61,4.15,1.95,3.5,3.8
26/09/2015,Premier League,2015-2016,Leicester,Arsenal,2,5,2,Claudio Ranieri,Arsene Wenger,4.5,4,1.8,4.55,3.97,1.83,4,3.75,1.85
26/09/2015,Premier League,2015-2016,Liverpool,Aston Villa,3,2,1,Brendan Rodgers,Tim Sherwood,1.53,4.33,7,1.53,4.28,7.48,1.53,3.8,7
26/09/2015,Premier League,2015-2016,Man United,Sunderland,3,0,1,Louis van Gaal,Dick Advocaat,1.2,7.5,16,1.23,6.9,16.7,1.22,6,13
26/09/2015,Premier League,2015-2016,Newcastle,Chelsea,2,2,X,Steve McClaren,Jose Mourinho,6,4.2,1.62,5.98,4.16,1.63,6,3.6,1.62
26/09/2015,Premier League,2015-2016,Southampton,Swansea,3,1,1,Ronald Koeman,Garry Monk,2.05,3.4,4.2,2.04,3.51,4.07,2.05,3.1,4
26/09/2015,Premier League,2015-2016,Stoke,Bournemouth,2,1,1,Mark Hughes,Eddie Howe,2.55,3.3,3,2.47,3.46,3.06,2.5,3.1,3
26/09/2015,Premier League,2015-2016,Tottenham,Man City,4,1,1,Mauricio Pochettino,Manuel Pellegrini,4.2,3.8,1.91,4.03,3.82,1.96,4,3.4,1.95
26/09/2015,Premier League,2015-2016,West Ham,Norwich,2,2,X,Slaven Bilic,Alex Neil,2.25,3.5,3.4,2.22,3.54,3.49,2.3,3.2,3.2
27/09/2015,Premier League,2015-2016,Watford,Crystal Palace,0,1,2,Quique Sanchez Flores,Alan Pardew,2.5,3.3,3.1,2.49,3.36,3.12,2.5,3.1,3
28/09/2015,Premier League,2015-2016,West Brom,Everton,2,3,2,Tony Pulis,Roberto Martinez,3.1,3.3,2.5,3.06,3.39,2.51,3.1,3,2.5
03/10/2015,Premier League,2015-2016,Aston Villa,Stoke,0,1,2,Tim Sherwood,Mark Hughes,2.5,3.3,3.1,2.5,3.34,3.11,2.5,3.2,2.9
03/10/2015,Premier League,2015-2016,Bournemouth,Watford,1,1,X,Eddie Howe,Quique Sanchez Flores,2.1,3.5,3.8,2.13,3.54,3.72,2.15,3,3.75
03/10/2015,Premier League,2015-2016,Chelsea,Southampton,1,3,2,Jose Mourinho,Ronald Koeman,1.83,3.7,4.8,1.83,3.76,4.84,1.83,3.2,4.8
03/10/2015,Premier League,2015-2016,Crystal Palace,West Brom,2,0,1,Alan Pardew,Tony Pulis,1.83,3.6,5,1.84,3.65,4.93,1.85,3.1,5
03/10/2015,Premier League,2015-2016,Man City,Newcastle,6,1,1,Manuel Pellegrini,Steve McClaren,1.25,7,13,1.24,6.9,13.8,1.25,6,13
03/10/2015,Premier League,2015-2016,Norwich,Leicester,1,2,2,Alex Neil,Claudio Ranieri,2.3,3.5,3.3,2.26,3.63,3.31,2.25,3.4,3.1
03/10/2015,Premier League,2015-2016,Sunderland,West Ham,2,2,X,Dick Advocaat,Slaven Bilic,3.2,3.4,2.4,3.13,3.46,2.43,2.9,3.4,2.38
04/10/2015,Premier League,2015-2016,Arsenal,Man United,3,0,1,Arsene Wenger,Louis van Gaal,2,3.8,3.8,2.06,3.67,3.81,1.95,3.6,3.75
04/10/2015,Premier League,2015-2016,Everton,Liverpool,1,1,X,Roberto Martinez,Brendan Rodgers,2.7,3.4,2.8,2.75,3.42,2.75,2.75,2.8,2.9
04/10/2015,Premier League,2015-2016,Swansea,Tottenham,2,2,X,Garry Monk,Mauricio Pochettino,2.75,3.25,2.8,2.72,3.33,2.84,2.62,3.25,2.7
17/10/2015,Premier League,2015-2016,Chelsea,Aston Villa,2,0,1,Jose Mourinho,Tim Sherwood,1.33,5.75,10,1.34,5.41,11,1.36,4.8,8.5
17/10/2015,Premier League,2015-2016,Crystal Palace,West Ham,1,3,2,Alan Pardew,Slaven Bilic,2,3.6,4,2.01,3.67,3.99,2.05,3.3,3.75
17/10/2015,Premier League,2015-2016,Everton,Man United,0,3,2,Roberto Martinez,Louis van Gaal,3.25,3.4,2.38,3.23,3.4,2.4,3.2,3,2.4
17/10/2015,Premier League,2015-2016,Man City,Bournemouth,5,1,1,Manuel Pellegrini,Eddie Howe,1.33,5.75,10,1.34,5.58,10.6,1.36,4.8,8.5
17/10/2015,Premier League,2015-2016,Southampton,Leicester,2,2,X,Ronald Koeman,Claudio Ranieri,1.75,4,5,1.76,3.88,5.1,1.8,3.25,5
17/10/2015,Premier League,2015-2016,Tottenham,Liverpool,0,0,X,Mauricio Pochettino,Jurgen Klopp,2.5,3.5,3,2.48,3.54,2.99,2.5,3.3,3
17/10/2015,Premier League,2015-2016,Watford,Arsenal,0,3,2,Quique Sanchez Flores,Arsene Wenger,6,4.2,1.62,6.29,4.31,1.59,6,3.6,1.62
17/10/2015,Premier League,2015-2016,West Brom,Sunderland,1,0,1,Tony Pulis,Sam Allardyce,2.05,3.4,4.2,2.08,3.42,4.07,2.1,3,4
18/10/2015,Premier League,2015-2016,Newcastle,Norwich,6,2,1,Steve McClaren,Alex Neil,2.6,3.4,2.88,2.58,3.44,2.93,2.62,3.1,2.8
19/10/2015,Premier League,2015-2016,Swansea,Stoke,0,1,2,Garry Monk,Mark Hughes,2.05,3.4,4.2,2.08,3.41,4.06,2.05,3.1,4
24/10/2015,Premier League,2015-2016,Arsenal,Everton,2,1,1,Arsene Wenger,Roberto Martinez,1.44,4.75,8,1.43,5.07,8.2,1.44,4,8
24/10/2015,Premier League,2015-2016,Aston Villa,Swansea,1,2,2,Tim Sherwood,Garry Monk,3,3.3,2.6,3.09,3.22,2.59,3,2.9,2.62
24/10/2015,Premier League,2015-2016,Leicester,Crystal Palace,1,0,1,Claudio Ranieri,Alan Pardew,2.2,3.6,3.4,2.21,3.56,3.48,2.3,2.9,3.5
24/10/2015,Premier League,2015-2016,Norwich,West Brom,0,1,2,Alex Neil,Tony Pulis,2,3.5,4.2,2.02,3.49,4.18,2.05,3.1,4
24/10/2015,Premier League,2015-2016,Stoke,Watford,0,2,2,Mark Hughes,Quique Sanchez Flores,2.1,3.3,4,2.1,3.38,4.03,2.15,3.1,3.6
24/10/2015,Premier League,2015-2016,West Ham,Chelsea,2,1,1,Slaven Bilic,Jose Mourinho,4,3.8,1.95,3.91,3.74,2.01,4,3.2,2
25/10/2015,Premier League,2015-2016,Bournemouth,Tottenham,1,5,2,Eddie Howe,Mauricio Pochettino,3.4,3.5,2.25,3.58,3.42,2.23,3.5,3,2.25
25/10/2015,Premier League,2015-2016,Liverpool,Southampton,1,1,X,Jurgen Klopp,Ronald Koeman,2.05,3.6,3.8,2.08,3.56,3.87,2.1,3.3,3.9
25/10/2015,Premier League,2015-2016,Man United,Man City,0,0,X,Louis van Gaal,Manuel Pellegrini,2.6,3.5,2.8,2.59,3.41,2.93,2.7,3.2,2.88
25/10/2015,Premier League,2015-2016,Sunderland,Newcastle,3,0,1,Sam Allardyce,Steve McClaren,2.6,3.4,2.9,2.57,3.41,2.96,2.62,3.1,3
31/10/2015,Premier League,2015-2016,Chelsea,Liverpool,1,3,2,Jose Mourinho,Jurgen Klopp,2.1,3.5,3.75,2.07,3.54,3.92,2.1,3.2,3.75
31/10/2015,Premier League,2015-2016,Crystal Palace,Man United,0,0,X,Alan Pardew,Louis van Gaal,3.8,3.5,2.1,4.02,3.46,2.08,4,3,2.1
31/10/2015,Premier League,2015-2016,Man City,Norwich,2,1,1,Manuel Pellegrini,Alex Neil,1.29,6,12,1.3,6.22,11.03,1.29,5,12
31/10/2015,Premier League,2015-2016,Newcastle,Stoke,0,0,X,Steve McClaren,Mark Hughes,2.4,3.4,3.2,2.39,3.43,3.24,2.4,3.1,3.1
31/10/2015,Premier League,2015-2016,Swansea,Arsenal,0,3,2,Garry Monk,Arsene Wenger,5,4,1.75,5.05,3.93,1.76,5,3.5,1.75
31/10/2015,Premier League,2015-2016,Watford,West Ham,2,0,1,Quique Sanchez Flores,Slaven Bilic,2.6,3.4,2.9,2.6,3.38,2.94,2.62,3.1,2.8
31/10/2015,Premier League,2015-2016,West Brom,Leicester,2,3,2,Tony Pulis,Claudio Ranieri,2.9,3.4,2.6,2.84,3.36,2.7,2.9,3,2.62
01/11/2015,Premier League,2015-2016,Everton,Sunderland,6,2,1,Roberto Martinez,Sam Allardyce,1.5,4.5,7.5,1.49,4.61,7.5,1.53,3.8,7
01/11/2015,Premier League,2015-2016,Southampton,Bournemouth,2,0,1,Ronald Koeman,Eddie Howe,1.55,4.33,6.5,1.55,4.37,6.88,1.57,3.8,6
02/11/2015,Premier League,2015-2016,Tottenham,Aston Villa,3,1,1,Mauricio Pochettino,Tim Sherwood,1.44,4.75,8,1.43,4.8,9,1.44,4.2,8
07/11/2015,Premier League,2015-2016,Bournemouth,Newcastle,0,1,2,Eddie Howe,Steve McClaren,2.25,3.5,3.4,2.18,3.56,3.57,2.25,3.1,3.4
07/11/2015,Premier League,2015-2016,Leicester,Watford,2,1,1,Claudio Ranieri,Quique Sanchez Flores,1.85,3.8,4.5,1.88,3.79,4.43,1.83,3.2,4.33
07/11/2015,Premier League,2015-2016,Man United,West Brom,2,0,1,Louis van Gaal,Tony Pulis,1.33,5.25,12,1.34,5.25,12.05,1.36,4,12
07/11/2015,Premier League,2015-2016,Norwich,Swansea,1,0,1,Alex Neil,Garry Monk,2.45,3.4,3.1,2.46,3.47,3.06,2.5,3.1,2.9
07/11/2015,Premier League,2015-2016,Stoke,Chelsea,1,0,1,Mark Hughes,Jose Mourinho,3.8,3.6,2.05,3.96,3.51,2.07,3.75,3.1,2.1
07/11/2015,Premier League,2015-2016,Sunderland,Southampton,0,1,2,Sam Allardyce,Ronald Koeman,4.75,3.8,1.8,4.79,3.81,1.82,5,3.2,1.8
07/11/2015,Premier League,2015-2016,West Ham,Everton,1,1,X,Slaven Bilic,Roberto Martinez,2.6,3.5,2.8,2.58,3.49,2.89,2.62,3.1,2.8
08/11/2015,Premier League,2015-2016,Arsenal,Tottenham,1,1,X,Arsene Wenger,Mauricio Pochettino,1.73,4,5,1.7,4.18,5.21,1.75,3.4,5
08/11/2015,Premier League,2015-2016,Aston Villa,Man City,0,0,X,Remi Garde,Manuel Pellegrini,7.5,5,1.44,8.15,4.93,1.44,8,4,1.44
08/11/2015,Premier League,2015-2016,Liverpool,Crystal Palace,1,2,2,Jurgen Klopp,Alan Pardew,1.67,3.8,6,1.68,3.99,5.73,1.7,3.2,6
21/11/2015,Premier League,2015-2016,Chelsea,Norwich,1,0,1,Jose Mourinho,Alex Neil,1.4,5,9,1.43,4.86,8.78,1.4,4.5,8
21/11/2015,Premier League,2015-2016,Everton,Aston Villa,4,0,1,Roberto Martinez,Remi Garde,1.57,4.2,6.5,1.57,4.2,6.8,1.57,3.8,6
21/11/2015,Premier League,2015-2016,Man City,Liverpool,1,4,2,Manuel Pellegrini,Jurgen Klopp,1.7,4,5.5,1.67,4.15,5.56,1.7,3.5,5.5
21/11/2015,Premier League,2015-2016,Newcastle,Leicester,0,3,2,Steve McClaren,Claudio Ranieri,2.88,3.6,2.5,2.85,3.55,2.58,2.75,3.25,2.6
21/11/2015,Premier League,2015-2016,Southampton,Stoke,0,1,2,Ronald Koeman,Mark Hughes,1.57,4,7,1.61,4.06,6.5,1.62,3.5,6.5
21/11/2015,Premier League,2015-2016,Swansea,Bournemouth,2,2,X,Garry Monk,Eddie Howe,1.91,3.6,4.5,1.91,3.59,4.6,1.95,3.1,4.5
21/11/2015,Premier League,2015-2016,Watford,Man United,1,2,2,Quique Sanchez Flores,Louis van Gaal,4.33,3.4,2,4.14,3.38,2.07,4,3.1,2.05
21/11/2015,Premier League,2015-2016,West Brom,Arsenal,2,1,1,Tony Pulis,Arsene Wenger,7,4.33,1.53,6.68,4.29,1.57,6.5,4,1.53
22/11/2015,Premier League,2015-2016,Tottenham,West Ham,4,1,1,Mauricio Pochettino,Slaven Bilic,1.57,4.2,6.5,1.55,4.43,6.78,1.6,3.75,6
23/11/2015,Premier League,2015-2016,Crystal Palace,Sunderland,0,1,2,Alan Pardew,Sam Allardyce,1.57,4,7,1.56,4.31,6.77,1.6,3.4,7
28/11/2015,Premier League,2015-2016,Aston Villa,Watford,2,3,2,Remi Garde,Quique Sanchez Flores,2.75,3.3,2.8,2.77,3.25,2.85,2.7,3.1,2.7
28/11/2015,Premier League,2015-2016,Bournemouth,Everton,3,3,X,Eddie Howe,Roberto Martinez,2.9,3.6,2.5,2.95,3.53,2.51,2.9,3.2,2.5
28/11/2015,Premier League,2015-2016,Crystal Palace,Newcastle,5,1,1,Alan Pardew,Steve McClaren,1.7,3.9,5.5,1.69,4.04,5.53,1.73,3.5,5
28/11/2015,Premier League,2015-2016,Leicester,Man United,1,1,X,Claudio Ranieri,Louis van Gaal,3.1,3.5,2.4,3.26,3.45,2.36,3.1,3.1,2.4
28/11/2015,Premier League,2015-2016,Man City,Southampton,3,1,1,Manuel Pellegrini,Ronald Koeman,1.6,4.33,6,1.58,4.4,6.28,1.57,3.8,6
28/11/2015,Premier League,2015-2016,Sunderland,Stoke,2,0,1,Sam Allardyce,Mark Hughes,3.2,3.3,2.45,3.16,3.28,2.51,3.1,3.1,2.4
29/11/2015,Premier League,2015-2016,Liverpool,Swansea,1,0,1,Jurgen Klopp,Garry Monk,1.44,4.75,8,1.48,4.55,7.95,1.5,4,7
29/11/2015,Premier League,2015-2016,Norwich,Arsenal,1,1,X,Alex Neil,Arsene Wenger,6,4.2,1.62,5.62,4.34,1.63,5.5,4,1.57
29/11/2015,Premier League,2015-2016,Tottenham,Chelsea,0,0,X,Mauricio Pochettino,Jose Mourinho,2.6,3.4,2.9,2.58,3.49,2.89,2.5,3.2,2.9
29/11/2015,Premier League,2015-2016,West Ham,West Brom,1,1,X,Slaven Bilic,Tony Pulis,2.05,3.5,4,2.1,3.41,3.98,2.05,3.3,3.75
05/12/2015,Premier League,2015-2016,Arsenal,Sunderland,3,1,1,Arsene Wenger,Sam Allardyce,1.29,6,13,1.28,6.14,13.53,1.29,5,12
05/12/2015,Premier League,2015-2016,Chelsea,Bournemouth,0,1,2,Jose Mourinho,Eddie Howe,1.36,5.25,9.5,1.38,5.23,9.75,1.36,4.5,9
05/12/2015,Premier League,2015-2016,Man United,West Ham,0,0,X,Louis van Gaal,Slaven Bilic,1.44,4.5,9,1.43,4.7,9.06,1.44,3.8,9
05/12/2015,Premier League,2015-2016,Southampton,Aston Villa,1,1,X,Ronald Koeman,Remi Garde,1.5,4.5,7.5,1.52,4.37,7.57,1.53,3.6,7.5
05/12/2015,Premier League,2015-2016,Stoke,Man City,2,0,1,Mark Hughes,Manuel Pellegrini,5.25,4,1.7,5.25,4.06,1.71,5.5,3.4,1.7
05/12/2015,Premier League,2015-2016,Swansea,Leicester,0,3,2,Garry Monk,Claudio Ranieri,2.7,3.4,2.75,2.68,3.44,2.8,2.8,3.1,2.62
05/12/2015,Premier League,2015-2016,Watford,Norwich,2,0,1,Quique Sanchez Flores,Alex Neil,2.15,3.5,3.6,2.16,3.48,3.7,2.15,3.1,3.6
05/12/2015,Premier League,2015-2016,West Brom,Tottenham,1,1,X,Tony Pulis,Mauricio Pochettino,4.75,3.6,1.85,4.75,3.69,1.85,4.5,3.1,1.91
06/12/2015,Premier League,2015-2016,Newcastle,Liverpool,2,0,1,Steve McClaren,Jurgen Klopp,5.75,4.33,1.62,5.75,4.35,1.62,5.5,3.75,1.62
07/12/2015,Premier League,2015-2016,Everton,Crystal Palace,1,1,X,Roberto Martinez,Alan Pardew,2.1,3.6,3.75,2.06,3.63,3.88,2,3.3,3.75
12/12/2015,Premier League,2015-2016,Bournemouth,Man United,2,1,1,Eddie Howe,Louis van Gaal,3.4,3.4,2.3,3.46,3.39,2.29,3.2,3.2,2.3
12/12/2015,Premier League,2015-2016,Crystal Palace,Southampton,1,0,1,Alan Pardew,Ronald Koeman,2.6,3.3,3,2.55,3.32,3.06,2.5,3.1,3
12/12/2015,Premier League,2015-2016,Man City,Swansea,2,1,1,Manuel Pellegrini,Alan Curtis,1.3,6,11,1.32,5.9,10.9,1.33,4.8,10
12/12/2015,Premier League,2015-2016,Norwich,Everton,1,1,X,Alex Neil,Roberto Martinez,2.9,3.5,2.55,2.92,3.56,2.52,2.9,3.2,2.5
12/12/2015,Premier League,2015-2016,Sunderland,Watford,0,1,2,Sam Allardyce,Quique Sanchez Flores,2.9,3.3,2.63,2.86,3.31,2.71,2.75,3,2.75
12/12/2015,Premier League,2015-2016,West Ham,Stoke,0,0,X,Slaven Bilic,Mark Hughes,2.63,3.3,2.9,2.63,3.33,2.94,2.62,3.1,2.8
13/12/2015,Premier League,2015-2016,Aston Villa,Arsenal,0,2,2,Remi Garde,Arsene Wenger,6.5,4.2,1.57,6.24,4.24,1.6,6.5,3.75,1.57
13/12/2015,Premier League,2015-2016,Liverpool,West Brom,2,2,X,Jurgen Klopp,Tony Pulis,1.4,4.75,10,1.45,4.59,9,1.4,4.33,9
13/12/2015,Premier League,2015-2016,Tottenham,Newcastle,1,2,2,Mauricio Pochettino,Steve McClaren,1.36,5.5,9,1.39,5.32,9,1.4,4.33,9
14/12/2015,Premier League,2015-2016,Leicester,Chelsea,2,1,1,Claudio Ranieri,Jose Mourinho,3.2,3.5,2.35,3.11,3.59,2.38,3.2,3.2,2.3
